target,method,subset,n,pearson_r
1G5M,Boltz-2,all,244,-0.494647689551881
1G5M,Boltz-2,pre-2019,203,-0.6273877362863033
1G5M,Boltz-2,post-2018,41,-0.04232606444911633
1G5M,DynamicBind,all,244,0.16486493738805894
1G5M,DynamicBind,pre-2019,203,0.23388120162226111
1G5M,DynamicBind,post-2018,41,-0.11800928857842564
1G5M,GNINA 1.3,all,242,0.09195340532235798
1G5M,GNINA 1.3,pre-2019,202,0.1283259889802583
1G5M,GNINA 1.3,post-2018,40,-0.015803369077818236
1G5M,PLAPT,all,244,-0.05687480064567065
1G5M,PLAPT,pre-2019,203,-0.07657785416003215
1G5M,PLAPT,post-2018,41,0.09813767359123851
1G5M,QVina2,all,244,-0.10253850986464758
1G5M,QVina2,pre-2019,203,-0.10178012273076863
1G5M,QVina2,post-2018,41,-0.16527679650071145
2Z5X,Boltz-2,all,208,-0.20961111789145903
2Z5X,Boltz-2,pre-2019,146,-0.2127841075462599
2Z5X,Boltz-2,post-2018,62,-0.20170628833825863
2Z5X,DynamicBind,all,213,-0.09451921831545688
2Z5X,DynamicBind,pre-2019,148,-0.012340000719854279
2Z5X,DynamicBind,post-2018,65,-0.3324317919992591
2Z5X,GNINA 1.3,all,212,0.04450821523004235
2Z5X,GNINA 1.3,pre-2019,148,0.1635869070708158
2Z5X,GNINA 1.3,post-2018,64,-0.32299134493267206
2Z5X,PLAPT,all,213,-0.19269672139072438
2Z5X,PLAPT,pre-2019,148,-0.1836288632420916
2Z5X,PLAPT,post-2018,65,-0.1952753749224476
2Z5X,QVina2,all,212,-0.04221489522653642
2Z5X,QVina2,pre-2019,148,-0.045790766769340255
2Z5X,QVina2,post-2018,64,-0.027578620107397967
3EYG,Boltz-2,all,2232,-0.696003264711308
3EYG,Boltz-2,pre-2019,1743,-0.7830456675125063
3EYG,Boltz-2,post-2018,489,-0.14825472376991528
3EYG,DynamicBind,all,2234,0.16698836466169967
3EYG,DynamicBind,pre-2019,1744,0.18432587570251277
3EYG,DynamicBind,post-2018,490,0.04171876070958278
3EYG,GNINA 1.3,all,2195,0.04190926609682857
3EYG,GNINA 1.3,pre-2019,1708,0.2287473318155668
3EYG,GNINA 1.3,post-2018,487,-0.42348592578056404
3EYG,PLAPT,all,2234,0.21243212369617065
3EYG,PLAPT,pre-2019,1744,0.27796792589648145
3EYG,PLAPT,post-2018,490,-0.03101251122125226
3EYG,QVina2,all,2201,0.03960697115332049
3EYG,QVina2,pre-2019,1713,0.0048326852712596595
3EYG,QVina2,post-2018,488,0.21775502284962414
3JY9,Boltz-2,all,2009,-0.7500585997892771
3JY9,Boltz-2,pre-2019,1351,-0.8026647046771626
3JY9,Boltz-2,post-2018,658,-0.6770826663156007
3JY9,DynamicBind,all,2014,0.27538584971905217
3JY9,DynamicBind,pre-2019,1355,0.39958676545643795
3JY9,DynamicBind,post-2018,659,0.01734786231219801
3JY9,GNINA 1.3,all,1986,0.12488884303182851
3JY9,GNINA 1.3,pre-2019,1338,0.23662659851200335
3JY9,GNINA 1.3,post-2018,648,-0.05853542008582076
3JY9,PLAPT,all,2014,0.26892728386792025
3JY9,PLAPT,pre-2019,1355,0.34375660702383937
3JY9,PLAPT,post-2018,659,0.12930664769317068
3JY9,QVina2,all,1985,-0.06698898581843034
3JY9,QVina2,pre-2019,1337,-0.2360151586151513
3JY9,QVina2,post-2018,648,0.27575431526233807
3LXK,Boltz-2,all,755,0.30228531710511247
3LXK,Boltz-2,pre-2019,446,0.3904936259462013
3LXK,Boltz-2,post-2018,308,0.2738616820282052
3LXK,DynamicBind,all,758,0.03966710343103108
3LXK,DynamicBind,pre-2019,447,0.19891194954840521
3LXK,DynamicBind,post-2018,310,-0.18209008522815795
3LXK,GNINA 1.3,all,751,-0.19104105285886616
3LXK,GNINA 1.3,pre-2019,442,-0.08116932970072001
3LXK,GNINA 1.3,post-2018,308,-0.25708978560146656
3LXK,PLAPT,all,758,0.02706819264674605
3LXK,PLAPT,pre-2019,447,0.08709769676355346
3LXK,PLAPT,post-2018,310,0.023818695786716443
3LXK,QVina2,all,751,0.2713357911431302
3LXK,QVina2,pre-2019,442,0.14748677793301823
3LXK,QVina2,post-2018,308,0.2756607813190682
3MJG,Boltz-2,all,274,-0.7282917860163924
3MJG,Boltz-2,pre-2019,25,-0.05936221898988666
3MJG,Boltz-2,post-2018,119,-0.075599353459806
3MJG,DynamicBind,all,275,0.49929053728747386
3MJG,DynamicBind,pre-2019,25,-0.3686970685711272
3MJG,DynamicBind,post-2018,119,-0.0840287587790426
3MJG,GNINA 1.3,all,268,0.3063124308887625
3MJG,GNINA 1.3,pre-2019,25,-0.15278899961451808
3MJG,GNINA 1.3,post-2018,113,0.08937923506468606
3MJG,PLAPT,all,275,0.25493973824177163
3MJG,PLAPT,pre-2019,25,0.08705764350912358
3MJG,PLAPT,post-2018,119,0.03435096999572641
3MJG,QVina2,all,268,-0.10227562126958496
3MJG,QVina2,pre-2019,25,-0.17190393590379963
3MJG,QVina2,post-2018,113,0.0961486005784807
4ASE,Boltz-2,all,850,-0.692109967290601
4ASE,Boltz-2,pre-2019,242,-0.4220109625240521
4ASE,Boltz-2,post-2018,136,-0.10590856824482708
4ASE,DynamicBind,all,851,0.3078238781025748
4ASE,DynamicBind,pre-2019,242,-0.017993881140796045
4ASE,DynamicBind,post-2018,136,0.325664455633021
4ASE,GNINA 1.3,all,838,0.5585174224632822
4ASE,GNINA 1.3,pre-2019,242,0.18905773745063867
4ASE,GNINA 1.3,post-2018,129,0.2947254680226015
4ASE,PLAPT,all,851,0.2572013372569084
4ASE,PLAPT,pre-2019,242,0.1019748584462788
4ASE,PLAPT,post-2018,136,0.24346055049923193
4ASE,QVina2,all,838,-0.40629149972349504
4ASE,QVina2,pre-2019,242,-0.2839266185155547
4ASE,QVina2,post-2018,129,-0.3413581276015421
4F65,Boltz-2,all,133,-0.483758631627427
4F65,Boltz-2,pre-2019,4,
4F65,Boltz-2,post-2018,129,-0.44899836467601384
4F65,DynamicBind,all,133,0.3612562122239483
4F65,DynamicBind,pre-2019,4,
4F65,DynamicBind,post-2018,129,0.27848074878685936
4F65,GNINA 1.3,all,126,0.04693894900952164
4F65,GNINA 1.3,pre-2019,4,
4F65,GNINA 1.3,post-2018,122,-0.005860535672933789
4F65,PLAPT,all,133,0.10311960852224437
4F65,PLAPT,pre-2019,4,
4F65,PLAPT,post-2018,129,0.07468552723385502
4F65,QVina2,all,126,0.009162879190025392
4F65,QVina2,pre-2019,4,
4F65,QVina2,post-2018,122,-0.009642166742623736
4TZ4,Boltz-2,all,113,-0.5064685231797278
4TZ4,Boltz-2,pre-2019,0,
4TZ4,Boltz-2,post-2018,113,-0.5064685231797278
4TZ4,DynamicBind,all,113,0.4254106876686521
4TZ4,DynamicBind,pre-2019,0,
4TZ4,DynamicBind,post-2018,113,0.4254106876686521
4TZ4,GNINA 1.3,all,112,0.4059045324260265
4TZ4,GNINA 1.3,pre-2019,0,
4TZ4,GNINA 1.3,post-2018,112,0.4059045324260265
4TZ4,PLAPT,all,113,0.32175216146940916
4TZ4,PLAPT,pre-2019,0,
4TZ4,PLAPT,post-2018,113,0.32175216146940916
4TZ4,QVina2,all,112,0.07777091189398241
4TZ4,QVina2,pre-2019,0,
4TZ4,QVina2,post-2018,112,0.07777091189398241
4ZAU,Boltz-2,all,219,-0.5384904472349612
4ZAU,Boltz-2,pre-2019,122,-0.6320607927431351
4ZAU,Boltz-2,post-2018,8,
4ZAU,DynamicBind,all,235,0.3685132653848688
4ZAU,DynamicBind,pre-2019,125,0.5374435025830682
4ZAU,DynamicBind,post-2018,8,
4ZAU,GNINA 1.3,all,233,0.3376904802499318
4ZAU,GNINA 1.3,pre-2019,123,0.44634426118569115
4ZAU,GNINA 1.3,post-2018,8,
4ZAU,PLAPT,all,235,0.1873269712495981
4ZAU,PLAPT,pre-2019,125,0.2663189180757948
4ZAU,PLAPT,post-2018,8,
4ZAU,QVina2,all,233,-0.06201640481567243
4ZAU,QVina2,pre-2019,123,-0.10248400194074007
4ZAU,QVina2,post-2018,8,
5JKV,Boltz-2,all,486,-0.5704254316489378
5JKV,Boltz-2,pre-2019,468,-0.5717468813958781
5JKV,Boltz-2,post-2018,18,
5JKV,DynamicBind,all,488,0.1393104580050298
5JKV,DynamicBind,pre-2019,470,0.1403558990080759
5JKV,DynamicBind,post-2018,18,
5JKV,GNINA 1.3,all,487,0.14515475745915374
5JKV,GNINA 1.3,pre-2019,469,0.14167009309845516
5JKV,GNINA 1.3,post-2018,18,
5JKV,PLAPT,all,488,0.1213184441123448
5JKV,PLAPT,pre-2019,470,0.12139861226565625
5JKV,PLAPT,post-2018,18,
5JKV,QVina2,all,487,-0.12995842481625852
5JKV,QVina2,pre-2019,469,-0.13030132568166497
5JKV,QVina2,post-2018,18,
5MO4,Boltz-2,all,679,-0.4205006134866385
5MO4,Boltz-2,pre-2019,671,-0.4220142445767547
5MO4,Boltz-2,post-2018,8,
5MO4,DynamicBind,all,682,0.5930080067821732
5MO4,DynamicBind,pre-2019,673,0.6007446228412867
5MO4,DynamicBind,post-2018,9,
5MO4,GNINA 1.3,all,682,0.3691850786719605
5MO4,GNINA 1.3,pre-2019,673,0.3681653210619091
5MO4,GNINA 1.3,post-2018,9,
5MO4,PLAPT,all,682,0.2383507782188772
5MO4,PLAPT,pre-2019,673,0.23640553853191698
5MO4,PLAPT,post-2018,9,
5MO4,QVina2,all,682,-0.4083661763347876
5MO4,QVina2,pre-2019,673,-0.42601088390112274
5MO4,QVina2,post-2018,9,
6GQJ,Boltz-2,all,1089,-0.36978319099177337
6GQJ,Boltz-2,pre-2019,283,0.004843544184100562
6GQJ,Boltz-2,post-2018,678,-0.30821165845316023
6GQJ,DynamicBind,all,1089,0.06744954023443318
6GQJ,DynamicBind,pre-2019,283,-0.43987079354731745
6GQJ,DynamicBind,post-2018,678,0.32836262375188396
6GQJ,GNINA 1.3,all,1085,0.27388597170300966
6GQJ,GNINA 1.3,pre-2019,281,-0.26941303803256905
6GQJ,GNINA 1.3,post-2018,678,0.4812758548318487
6GQJ,PLAPT,all,1089,0.08904817119296274
6GQJ,PLAPT,pre-2019,283,-0.32215199265289013
6GQJ,PLAPT,post-2018,678,0.15026125281651279
6GQJ,QVina2,all,1085,-0.046142468612585495
6GQJ,QVina2,pre-2019,281,0.16265472338637757
6GQJ,QVina2,post-2018,678,-0.054916165409748224
6JOK,Boltz-2,all,249,-0.8518887258289272
6JOK,Boltz-2,pre-2019,0,
6JOK,Boltz-2,post-2018,118,-0.2803569930023387
6JOK,DynamicBind,all,250,0.5601762126150363
6JOK,DynamicBind,pre-2019,0,
6JOK,DynamicBind,post-2018,118,0.09786282523208012
6JOK,GNINA 1.3,all,242,0.6243661886324359
6JOK,GNINA 1.3,pre-2019,0,
6JOK,GNINA 1.3,post-2018,112,0.037082665040438514
6JOK,PLAPT,all,250,0.30033897352677863
6JOK,PLAPT,pre-2019,0,
6JOK,PLAPT,post-2018,118,0.1645938095197519
6JOK,QVina2,all,242,-0.40711312109362935
6JOK,QVina2,pre-2019,0,
6JOK,QVina2,post-2018,112,0.07886465237796164
7AWE,Boltz-2,all,83,-0.6825210511616552
7AWE,Boltz-2,pre-2019,67,-0.6360078779880652
7AWE,Boltz-2,post-2018,16,
7AWE,DynamicBind,all,83,0.28192854869873657
7AWE,DynamicBind,pre-2019,67,0.37526148417320726
7AWE,DynamicBind,post-2018,16,
7AWE,GNINA 1.3,all,59,0.3662744993519936
7AWE,GNINA 1.3,pre-2019,46,0.4093729684069208
7AWE,GNINA 1.3,post-2018,13,
7AWE,PLAPT,all,83,0.42955489640171296
7AWE,PLAPT,pre-2019,67,0.37106391359396346
7AWE,PLAPT,post-2018,16,
7AWE,QVina2,all,42,0.2875834912989816
7AWE,QVina2,pre-2019,31,0.33850095435133637
7AWE,QVina2,post-2018,11,
7KK3,Boltz-2,all,1047,-0.7371800709654714
7KK3,Boltz-2,pre-2019,1037,-0.7372809407151182
7KK3,Boltz-2,post-2018,10,
7KK3,DynamicBind,all,1049,-0.03498369848632593
7KK3,DynamicBind,pre-2019,1038,-0.030374604176241403
7KK3,DynamicBind,post-2018,11,
7KK3,GNINA 1.3,all,588,0.283867291339018
7KK3,GNINA 1.3,pre-2019,582,0.28316629675986243
7KK3,GNINA 1.3,post-2018,6,
7KK3,PLAPT,all,1049,0.45094344106577827
7KK3,PLAPT,pre-2019,1038,0.4460991903107312
7KK3,PLAPT,post-2018,11,
7KK3,QVina2,all,928,-0.24249661704200715
7KK3,QVina2,pre-2019,919,-0.24448284149436902
7KK3,QVina2,post-2018,9,
