target,method_id,method_label,check,pass_rate
1g5m,boltz2,Boltz-2,mol_pred_loaded,1.0
1g5m,boltz2,Boltz-2,mol_cond_loaded,1.0
1g5m,boltz2,Boltz-2,sanitization,0.9938775510204082
1g5m,boltz2,Boltz-2,inchi_convertible,0.9938775510204082
1g5m,boltz2,Boltz-2,all_atoms_connected,0.9959183673469387
1g5m,boltz2,Boltz-2,bond_lengths,1.0
1g5m,boltz2,Boltz-2,bond_angles,1.0
1g5m,boltz2,Boltz-2,internal_steric_clash,0.9917864476386037
1g5m,boltz2,Boltz-2,aromatic_ring_flatness,1.0
1g5m,boltz2,Boltz-2,non-aromatic_ring_non-flatness,0.997946611909651
1g5m,boltz2,Boltz-2,double_bond_flatness,0.997946611909651
1g5m,boltz2,Boltz-2,protein-ligand_maximum_distance,1.0
1g5m,boltz2,Boltz-2,minimum_distance_to_protein,0.9673469387755103
1g5m,boltz2,Boltz-2,minimum_distance_to_organic_cofactors,1.0
1g5m,boltz2,Boltz-2,minimum_distance_to_inorganic_cofactors,1.0
1g5m,boltz2,Boltz-2,minimum_distance_to_waters,1.0
1g5m,boltz2,Boltz-2,volume_overlap_with_protein,1.0
1g5m,boltz2,Boltz-2,volume_overlap_with_organic_cofactors,1.0
1g5m,boltz2,Boltz-2,volume_overlap_with_inorganic_cofactors,1.0
1g5m,boltz2,Boltz-2,volume_overlap_with_waters,1.0
1g5m,dynamicbind,DynamicBind,mol_pred_loaded,1.0
1g5m,dynamicbind,DynamicBind,mol_cond_loaded,1.0
1g5m,dynamicbind,DynamicBind,sanitization,1.0
1g5m,dynamicbind,DynamicBind,inchi_convertible,1.0
1g5m,dynamicbind,DynamicBind,all_atoms_connected,0.9965156794425087
1g5m,dynamicbind,DynamicBind,bond_lengths,1.0
1g5m,dynamicbind,DynamicBind,bond_angles,1.0
1g5m,dynamicbind,DynamicBind,internal_steric_clash,0.9303135888501742
1g5m,dynamicbind,DynamicBind,aromatic_ring_flatness,1.0
1g5m,dynamicbind,DynamicBind,non-aromatic_ring_non-flatness,1.0
1g5m,dynamicbind,DynamicBind,double_bond_flatness,1.0
1g5m,dynamicbind,DynamicBind,protein-ligand_maximum_distance,1.0
1g5m,dynamicbind,DynamicBind,minimum_distance_to_protein,0.0
1g5m,dynamicbind,DynamicBind,minimum_distance_to_organic_cofactors,1.0
1g5m,dynamicbind,DynamicBind,minimum_distance_to_inorganic_cofactors,1.0
1g5m,dynamicbind,DynamicBind,minimum_distance_to_waters,1.0
1g5m,dynamicbind,DynamicBind,volume_overlap_with_protein,0.0313588850174216
1g5m,dynamicbind,DynamicBind,volume_overlap_with_organic_cofactors,1.0
1g5m,dynamicbind,DynamicBind,volume_overlap_with_inorganic_cofactors,1.0
1g5m,dynamicbind,DynamicBind,volume_overlap_with_waters,1.0
1g5m,gnina,GNINA 1.3,mol_pred_loaded,1.0
1g5m,gnina,GNINA 1.3,mol_cond_loaded,1.0
1g5m,gnina,GNINA 1.3,sanitization,0.9965156794425087
1g5m,gnina,GNINA 1.3,inchi_convertible,0.554006968641115
1g5m,gnina,GNINA 1.3,all_atoms_connected,1.0
1g5m,gnina,GNINA 1.3,bond_lengths,1.0
1g5m,gnina,GNINA 1.3,bond_angles,0.9965034965034965
1g5m,gnina,GNINA 1.3,internal_steric_clash,0.9825174825174825
1g5m,gnina,GNINA 1.3,aromatic_ring_flatness,1.0
1g5m,gnina,GNINA 1.3,non-aromatic_ring_non-flatness,1.0
1g5m,gnina,GNINA 1.3,double_bond_flatness,1.0
1g5m,gnina,GNINA 1.3,protein-ligand_maximum_distance,1.0
1g5m,gnina,GNINA 1.3,minimum_distance_to_protein,1.0
1g5m,gnina,GNINA 1.3,minimum_distance_to_organic_cofactors,1.0
1g5m,gnina,GNINA 1.3,minimum_distance_to_inorganic_cofactors,1.0
1g5m,gnina,GNINA 1.3,minimum_distance_to_waters,1.0
1g5m,gnina,GNINA 1.3,volume_overlap_with_protein,1.0
1g5m,gnina,GNINA 1.3,volume_overlap_with_organic_cofactors,1.0
1g5m,gnina,GNINA 1.3,volume_overlap_with_inorganic_cofactors,1.0
1g5m,gnina,GNINA 1.3,volume_overlap_with_waters,1.0
1g5m,qvina,QVina2,mol_pred_loaded,1.0
1g5m,qvina,QVina2,mol_cond_loaded,1.0
1g5m,qvina,QVina2,sanitization,0.9965156794425087
1g5m,qvina,QVina2,inchi_convertible,0.5296167247386759
1g5m,qvina,QVina2,all_atoms_connected,1.0
1g5m,qvina,QVina2,bond_lengths,1.0
1g5m,qvina,QVina2,bond_angles,1.0
1g5m,qvina,QVina2,internal_steric_clash,0.9965034965034965
1g5m,qvina,QVina2,aromatic_ring_flatness,1.0
1g5m,qvina,QVina2,non-aromatic_ring_non-flatness,1.0
1g5m,qvina,QVina2,double_bond_flatness,1.0
1g5m,qvina,QVina2,protein-ligand_maximum_distance,1.0
1g5m,qvina,QVina2,minimum_distance_to_protein,1.0
1g5m,qvina,QVina2,minimum_distance_to_organic_cofactors,1.0
1g5m,qvina,QVina2,minimum_distance_to_inorganic_cofactors,1.0
1g5m,qvina,QVina2,minimum_distance_to_waters,1.0
1g5m,qvina,QVina2,volume_overlap_with_protein,1.0
1g5m,qvina,QVina2,volume_overlap_with_organic_cofactors,1.0
1g5m,qvina,QVina2,volume_overlap_with_inorganic_cofactors,1.0
1g5m,qvina,QVina2,volume_overlap_with_waters,1.0
2z5x,boltz2,Boltz-2,mol_pred_loaded,1.0
2z5x,boltz2,Boltz-2,mol_cond_loaded,1.0
2z5x,boltz2,Boltz-2,sanitization,0.9937106918238994
2z5x,boltz2,Boltz-2,inchi_convertible,0.9937106918238994
2z5x,boltz2,Boltz-2,all_atoms_connected,1.0
2z5x,boltz2,Boltz-2,bond_lengths,1.0
2z5x,boltz2,Boltz-2,bond_angles,1.0
2z5x,boltz2,Boltz-2,internal_steric_clash,1.0
2z5x,boltz2,Boltz-2,aromatic_ring_flatness,1.0
2z5x,boltz2,Boltz-2,non-aromatic_ring_non-flatness,1.0
2z5x,boltz2,Boltz-2,double_bond_flatness,1.0
2z5x,boltz2,Boltz-2,protein-ligand_maximum_distance,1.0
2z5x,boltz2,Boltz-2,minimum_distance_to_protein,0.8270440251572327
2z5x,boltz2,Boltz-2,minimum_distance_to_organic_cofactors,1.0
2z5x,boltz2,Boltz-2,minimum_distance_to_inorganic_cofactors,1.0
2z5x,boltz2,Boltz-2,minimum_distance_to_waters,1.0
2z5x,boltz2,Boltz-2,volume_overlap_with_protein,1.0
2z5x,boltz2,Boltz-2,volume_overlap_with_organic_cofactors,1.0
2z5x,boltz2,Boltz-2,volume_overlap_with_inorganic_cofactors,1.0
2z5x,boltz2,Boltz-2,volume_overlap_with_waters,1.0
2z5x,dynamicbind,DynamicBind,mol_pred_loaded,1.0
2z5x,dynamicbind,DynamicBind,mol_cond_loaded,1.0
2z5x,dynamicbind,DynamicBind,sanitization,1.0
2z5x,dynamicbind,DynamicBind,inchi_convertible,1.0
2z5x,dynamicbind,DynamicBind,all_atoms_connected,0.9836734693877551
2z5x,dynamicbind,DynamicBind,bond_lengths,1.0
2z5x,dynamicbind,DynamicBind,bond_angles,1.0
2z5x,dynamicbind,DynamicBind,internal_steric_clash,0.9836734693877551
2z5x,dynamicbind,DynamicBind,aromatic_ring_flatness,1.0
2z5x,dynamicbind,DynamicBind,non-aromatic_ring_non-flatness,1.0
2z5x,dynamicbind,DynamicBind,double_bond_flatness,1.0
2z5x,dynamicbind,DynamicBind,protein-ligand_maximum_distance,1.0
2z5x,dynamicbind,DynamicBind,minimum_distance_to_protein,0.20816326530612245
2z5x,dynamicbind,DynamicBind,minimum_distance_to_organic_cofactors,1.0
2z5x,dynamicbind,DynamicBind,minimum_distance_to_inorganic_cofactors,1.0
2z5x,dynamicbind,DynamicBind,minimum_distance_to_waters,1.0
2z5x,dynamicbind,DynamicBind,volume_overlap_with_protein,0.5959183673469388
2z5x,dynamicbind,DynamicBind,volume_overlap_with_organic_cofactors,1.0
2z5x,dynamicbind,DynamicBind,volume_overlap_with_inorganic_cofactors,1.0
2z5x,dynamicbind,DynamicBind,volume_overlap_with_waters,1.0
2z5x,gnina,GNINA 1.3,mol_pred_loaded,1.0
2z5x,gnina,GNINA 1.3,mol_cond_loaded,1.0
2z5x,gnina,GNINA 1.3,sanitization,0.991869918699187
2z5x,gnina,GNINA 1.3,inchi_convertible,0.5203252032520326
2z5x,gnina,GNINA 1.3,all_atoms_connected,1.0
2z5x,gnina,GNINA 1.3,bond_lengths,1.0
2z5x,gnina,GNINA 1.3,bond_angles,1.0
2z5x,gnina,GNINA 1.3,internal_steric_clash,1.0
2z5x,gnina,GNINA 1.3,aromatic_ring_flatness,1.0
2z5x,gnina,GNINA 1.3,non-aromatic_ring_non-flatness,1.0
2z5x,gnina,GNINA 1.3,double_bond_flatness,1.0
2z5x,gnina,GNINA 1.3,protein-ligand_maximum_distance,1.0
2z5x,gnina,GNINA 1.3,minimum_distance_to_protein,0.056910569105691054
2z5x,gnina,GNINA 1.3,minimum_distance_to_organic_cofactors,0.056910569105691054
2z5x,gnina,GNINA 1.3,minimum_distance_to_inorganic_cofactors,0.056910569105691054
2z5x,gnina,GNINA 1.3,minimum_distance_to_waters,0.04878048780487805
2z5x,gnina,GNINA 1.3,volume_overlap_with_protein,0.056910569105691054
2z5x,gnina,GNINA 1.3,volume_overlap_with_organic_cofactors,0.056910569105691054
2z5x,gnina,GNINA 1.3,volume_overlap_with_inorganic_cofactors,0.056910569105691054
2z5x,gnina,GNINA 1.3,volume_overlap_with_waters,0.056910569105691054
2z5x,qvina,QVina2,mol_pred_loaded,1.0
2z5x,qvina,QVina2,mol_cond_loaded,1.0
2z5x,qvina,QVina2,sanitization,0.9918367346938776
2z5x,qvina,QVina2,inchi_convertible,0.5183673469387755
2z5x,qvina,QVina2,all_atoms_connected,1.0
2z5x,qvina,QVina2,bond_lengths,1.0
2z5x,qvina,QVina2,bond_angles,1.0
2z5x,qvina,QVina2,internal_steric_clash,1.0
2z5x,qvina,QVina2,aromatic_ring_flatness,1.0
2z5x,qvina,QVina2,non-aromatic_ring_non-flatness,1.0
2z5x,qvina,QVina2,double_bond_flatness,1.0
2z5x,qvina,QVina2,protein-ligand_maximum_distance,1.0
2z5x,qvina,QVina2,minimum_distance_to_protein,0.0
2z5x,qvina,QVina2,minimum_distance_to_organic_cofactors,0.0
2z5x,qvina,QVina2,minimum_distance_to_inorganic_cofactors,0.0
2z5x,qvina,QVina2,minimum_distance_to_waters,0.0
2z5x,qvina,QVina2,volume_overlap_with_protein,0.0
2z5x,qvina,QVina2,volume_overlap_with_organic_cofactors,0.0
2z5x,qvina,QVina2,volume_overlap_with_inorganic_cofactors,0.0
2z5x,qvina,QVina2,volume_overlap_with_waters,0.0
3eyg,boltz2,Boltz-2,mol_pred_loaded,1.0
3eyg,boltz2,Boltz-2,mol_cond_loaded,1.0
3eyg,boltz2,Boltz-2,sanitization,0.4433497536945813
3eyg,boltz2,Boltz-2,inchi_convertible,0.4433497536945813
3eyg,boltz2,Boltz-2,all_atoms_connected,1.0
3eyg,boltz2,Boltz-2,bond_lengths,0.997979797979798
3eyg,boltz2,Boltz-2,bond_angles,0.998989898989899
3eyg,boltz2,Boltz-2,internal_steric_clash,0.9959595959595959
3eyg,boltz2,Boltz-2,aromatic_ring_flatness,1.0
3eyg,boltz2,Boltz-2,non-aromatic_ring_non-flatness,0.998989898989899
3eyg,boltz2,Boltz-2,double_bond_flatness,1.0
3eyg,boltz2,Boltz-2,protein-ligand_maximum_distance,1.0
3eyg,boltz2,Boltz-2,minimum_distance_to_protein,0.9189431258396775
3eyg,boltz2,Boltz-2,minimum_distance_to_organic_cofactors,1.0
3eyg,boltz2,Boltz-2,minimum_distance_to_inorganic_cofactors,1.0
3eyg,boltz2,Boltz-2,minimum_distance_to_waters,1.0
3eyg,boltz2,Boltz-2,volume_overlap_with_protein,1.0
3eyg,boltz2,Boltz-2,volume_overlap_with_organic_cofactors,1.0
3eyg,boltz2,Boltz-2,volume_overlap_with_inorganic_cofactors,1.0
3eyg,boltz2,Boltz-2,volume_overlap_with_waters,1.0
3eyg,dynamicbind,DynamicBind,mol_pred_loaded,1.0
3eyg,dynamicbind,DynamicBind,mol_cond_loaded,1.0
3eyg,dynamicbind,DynamicBind,sanitization,1.0
3eyg,dynamicbind,DynamicBind,inchi_convertible,1.0
3eyg,dynamicbind,DynamicBind,all_atoms_connected,0.9995563442768411
3eyg,dynamicbind,DynamicBind,bond_lengths,1.0
3eyg,dynamicbind,DynamicBind,bond_angles,1.0
3eyg,dynamicbind,DynamicBind,internal_steric_clash,0.9711623779946761
3eyg,dynamicbind,DynamicBind,aromatic_ring_flatness,1.0
3eyg,dynamicbind,DynamicBind,non-aromatic_ring_non-flatness,1.0
3eyg,dynamicbind,DynamicBind,double_bond_flatness,1.0
3eyg,dynamicbind,DynamicBind,protein-ligand_maximum_distance,0.9401064773735581
3eyg,dynamicbind,DynamicBind,minimum_distance_to_protein,0.12466725820763087
3eyg,dynamicbind,DynamicBind,minimum_distance_to_organic_cofactors,1.0
3eyg,dynamicbind,DynamicBind,minimum_distance_to_inorganic_cofactors,1.0
3eyg,dynamicbind,DynamicBind,minimum_distance_to_waters,1.0
3eyg,dynamicbind,DynamicBind,volume_overlap_with_protein,0.8007985803016859
3eyg,dynamicbind,DynamicBind,volume_overlap_with_organic_cofactors,1.0
3eyg,dynamicbind,DynamicBind,volume_overlap_with_inorganic_cofactors,1.0
3eyg,dynamicbind,DynamicBind,volume_overlap_with_waters,1.0
3eyg,gnina,GNINA 1.3,mol_pred_loaded,1.0
3eyg,gnina,GNINA 1.3,mol_cond_loaded,1.0
3eyg,gnina,GNINA 1.3,sanitization,0.9927765237020316
3eyg,gnina,GNINA 1.3,inchi_convertible,0.1837471783295711
3eyg,gnina,GNINA 1.3,all_atoms_connected,1.0
3eyg,gnina,GNINA 1.3,bond_lengths,1.0
3eyg,gnina,GNINA 1.3,bond_angles,1.0
3eyg,gnina,GNINA 1.3,internal_steric_clash,0.8958617553433379
3eyg,gnina,GNINA 1.3,aromatic_ring_flatness,1.0
3eyg,gnina,GNINA 1.3,non-aromatic_ring_non-flatness,0.9995452478399273
3eyg,gnina,GNINA 1.3,double_bond_flatness,0.9995452478399273
3eyg,gnina,GNINA 1.3,protein-ligand_maximum_distance,1.0
3eyg,gnina,GNINA 1.3,minimum_distance_to_protein,0.03837471783295711
3eyg,gnina,GNINA 1.3,minimum_distance_to_organic_cofactors,0.03837471783295711
3eyg,gnina,GNINA 1.3,minimum_distance_to_inorganic_cofactors,0.04153498871331828
3eyg,gnina,GNINA 1.3,minimum_distance_to_waters,0.0
3eyg,gnina,GNINA 1.3,volume_overlap_with_protein,0.04108352144469526
3eyg,gnina,GNINA 1.3,volume_overlap_with_organic_cofactors,0.04198645598194131
3eyg,gnina,GNINA 1.3,volume_overlap_with_inorganic_cofactors,0.042437923250564336
3eyg,gnina,GNINA 1.3,volume_overlap_with_waters,0.0036117381489841984
3eyg,qvina,QVina2,mol_pred_loaded,1.0
3eyg,qvina,QVina2,mol_cond_loaded,1.0
3eyg,qvina,QVina2,sanitization,0.9927960378208014
3eyg,qvina,QVina2,inchi_convertible,0.18325078793336336
3eyg,qvina,QVina2,all_atoms_connected,1.0
3eyg,qvina,QVina2,bond_lengths,1.0
3eyg,qvina,QVina2,bond_angles,1.0
3eyg,qvina,QVina2,internal_steric_clash,0.9746031746031746
3eyg,qvina,QVina2,aromatic_ring_flatness,1.0
3eyg,qvina,QVina2,non-aromatic_ring_non-flatness,0.999546485260771
3eyg,qvina,QVina2,double_bond_flatness,0.999546485260771
3eyg,qvina,QVina2,protein-ligand_maximum_distance,1.0
3eyg,qvina,QVina2,minimum_distance_to_protein,0.024313372354795137
3eyg,qvina,QVina2,minimum_distance_to_organic_cofactors,0.024313372354795137
3eyg,qvina,QVina2,minimum_distance_to_inorganic_cofactors,0.024763619990995047
3eyg,qvina,QVina2,minimum_distance_to_waters,0.0
3eyg,qvina,QVina2,volume_overlap_with_protein,0.024763619990995047
3eyg,qvina,QVina2,volume_overlap_with_organic_cofactors,0.024763619990995047
3eyg,qvina,QVina2,volume_overlap_with_inorganic_cofactors,0.027915353444394417
3eyg,qvina,QVina2,volume_overlap_with_waters,0.0
3jy9,boltz2,Boltz-2,mol_pred_loaded,1.0
3jy9,boltz2,Boltz-2,mol_cond_loaded,1.0
3jy9,boltz2,Boltz-2,sanitization,0.5755467196819085
3jy9,boltz2,Boltz-2,inchi_convertible,0.5755467196819085
3jy9,boltz2,Boltz-2,all_atoms_connected,0.9995029821073559
3jy9,boltz2,Boltz-2,bond_lengths,0.9991364421416234
3jy9,boltz2,Boltz-2,bond_angles,0.9991364421416234
3jy9,boltz2,Boltz-2,internal_steric_clash,0.9930915371329879
3jy9,boltz2,Boltz-2,aromatic_ring_flatness,1.0
3jy9,boltz2,Boltz-2,non-aromatic_ring_non-flatness,0.9974093264248705
3jy9,boltz2,Boltz-2,double_bond_flatness,1.0
3jy9,boltz2,Boltz-2,protein-ligand_maximum_distance,1.0
3jy9,boltz2,Boltz-2,minimum_distance_to_protein,0.9065606361829026
3jy9,boltz2,Boltz-2,minimum_distance_to_organic_cofactors,1.0
3jy9,boltz2,Boltz-2,minimum_distance_to_inorganic_cofactors,1.0
3jy9,boltz2,Boltz-2,minimum_distance_to_waters,1.0
3jy9,boltz2,Boltz-2,volume_overlap_with_protein,1.0
3jy9,boltz2,Boltz-2,volume_overlap_with_organic_cofactors,1.0
3jy9,boltz2,Boltz-2,volume_overlap_with_inorganic_cofactors,1.0
3jy9,boltz2,Boltz-2,volume_overlap_with_waters,1.0
3jy9,dynamicbind,DynamicBind,mol_pred_loaded,1.0
3jy9,dynamicbind,DynamicBind,mol_cond_loaded,1.0
3jy9,dynamicbind,DynamicBind,sanitization,1.0
3jy9,dynamicbind,DynamicBind,inchi_convertible,1.0
3jy9,dynamicbind,DynamicBind,all_atoms_connected,0.998025666337611
3jy9,dynamicbind,DynamicBind,bond_lengths,1.0
3jy9,dynamicbind,DynamicBind,bond_angles,1.0
3jy9,dynamicbind,DynamicBind,internal_steric_clash,0.9693978282329714
3jy9,dynamicbind,DynamicBind,aromatic_ring_flatness,1.0
3jy9,dynamicbind,DynamicBind,non-aromatic_ring_non-flatness,1.0
3jy9,dynamicbind,DynamicBind,double_bond_flatness,1.0
3jy9,dynamicbind,DynamicBind,protein-ligand_maximum_distance,1.0
3jy9,dynamicbind,DynamicBind,minimum_distance_to_protein,0.2680157946692991
3jy9,dynamicbind,DynamicBind,minimum_distance_to_organic_cofactors,1.0
3jy9,dynamicbind,DynamicBind,minimum_distance_to_inorganic_cofactors,1.0
3jy9,dynamicbind,DynamicBind,minimum_distance_to_waters,1.0
3jy9,dynamicbind,DynamicBind,volume_overlap_with_protein,0.9417571569595261
3jy9,dynamicbind,DynamicBind,volume_overlap_with_organic_cofactors,1.0
3jy9,dynamicbind,DynamicBind,volume_overlap_with_inorganic_cofactors,1.0
3jy9,dynamicbind,DynamicBind,volume_overlap_with_waters,1.0
3jy9,gnina,GNINA 1.3,mol_pred_loaded,1.0
3jy9,gnina,GNINA 1.3,mol_cond_loaded,1.0
3jy9,gnina,GNINA 1.3,sanitization,0.9957081545064378
3jy9,gnina,GNINA 1.3,inchi_convertible,0.48068669527896996
3jy9,gnina,GNINA 1.3,all_atoms_connected,1.0
3jy9,gnina,GNINA 1.3,bond_lengths,1.0
3jy9,gnina,GNINA 1.3,bond_angles,1.0
3jy9,gnina,GNINA 1.3,internal_steric_clash,0.9525862068965517
3jy9,gnina,GNINA 1.3,aromatic_ring_flatness,1.0
3jy9,gnina,GNINA 1.3,non-aromatic_ring_non-flatness,1.0
3jy9,gnina,GNINA 1.3,double_bond_flatness,1.0
3jy9,gnina,GNINA 1.3,protein-ligand_maximum_distance,1.0
3jy9,gnina,GNINA 1.3,minimum_distance_to_protein,0.060085836909871244
3jy9,gnina,GNINA 1.3,minimum_distance_to_organic_cofactors,0.060085836909871244
3jy9,gnina,GNINA 1.3,minimum_distance_to_inorganic_cofactors,0.06437768240343347
3jy9,gnina,GNINA 1.3,minimum_distance_to_waters,0.0
3jy9,gnina,GNINA 1.3,volume_overlap_with_protein,0.06866952789699571
3jy9,gnina,GNINA 1.3,volume_overlap_with_organic_cofactors,0.06866952789699571
3jy9,gnina,GNINA 1.3,volume_overlap_with_inorganic_cofactors,0.07296137339055794
3jy9,gnina,GNINA 1.3,volume_overlap_with_waters,0.03862660944206009
3jy9,qvina,QVina2,mol_pred_loaded,1.0
3jy9,qvina,QVina2,mol_cond_loaded,1.0
3jy9,qvina,QVina2,sanitization,0.9873417721518988
3jy9,qvina,QVina2,inchi_convertible,0.379746835443038
3jy9,qvina,QVina2,all_atoms_connected,1.0
3jy9,qvina,QVina2,bond_lengths,1.0
3jy9,qvina,QVina2,bond_angles,1.0
3jy9,qvina,QVina2,internal_steric_clash,0.9911858974358975
3jy9,qvina,QVina2,aromatic_ring_flatness,1.0
3jy9,qvina,QVina2,non-aromatic_ring_non-flatness,0.999198717948718
3jy9,qvina,QVina2,double_bond_flatness,0.999198717948718
3jy9,qvina,QVina2,protein-ligand_maximum_distance,1.0
3jy9,qvina,QVina2,minimum_distance_to_protein,0.0490506329113924
3jy9,qvina,QVina2,minimum_distance_to_organic_cofactors,0.0490506329113924
3jy9,qvina,QVina2,minimum_distance_to_inorganic_cofactors,0.056962025316455694
3jy9,qvina,QVina2,minimum_distance_to_waters,0.0
